category,return_net_5y
EQUITY,12.95
EQUITY,14.02
EQUITY,13.66
EQUITY,14.97
EQUITY,15
EQUITY,8.82
EQUITY,8.87
EQUITY,9.71
EQUITY,8.25
EQUITY,7.73
EQUITY,8.57
EQUITY,9.29
EQUITY,10.2
EQUITY,9.61
EQUITY,10.63
EQUITY,4.88
EQUITY,5.19
EQUITY,4.85
EQUITY,5.35
EQUITY,6.06
EQUITY,5.56
EQUITY,6.22
EQUITY,9.93
EQUITY,18.36
EQUITY,30.51
EQUITY,6.68
EQUITY,13.37
EQUITY,14.08
EQUITY,6.8
EQUITY,7.66
EQUITY,2.8
EQUITY,2
EQUITY,7.23
EQUITY,8.03
EQUITY,1.51
EQUITY,0.8
EQUITY,3.22
EQUITY,9.24
EQUITY,10.05
EQUITY,12.53
EQUITY,13.37
EQUITY,4.48
EQUITY,3.74
EQUITY,1.27
EQUITY,12.79
EQUITY,13.45
EQUITY,5.79
EQUITY,24.78
EQUITY,25.88
EQUITY,19.28
EQUITY,20.22
EQUITY,19.41
EQUITY,20.36
EQUITY,8.91
EQUITY,8.91
EQUITY,1.94
EQUITY,12.43
EQUITY,13.4
EQUITY,1.02
EQUITY,5.62
EQUITY,2.11
EQUITY,7.73
EQUITY,6.44
EQUITY,5.66
EQUITY,4.29
EQUITY,11.81
EQUITY,5.44
EQUITY,13.72
EQUITY,18.66
EQUITY,18.09
EQUITY,16.26
EQUITY,10.26
EQUITY,10.86
EQUITY,14
EQUITY,14.25
EQUITY,10.99
EQUITY,11.28
EQUITY,19.43
EQUITY,19.68
EQUITY,9.57
EQUITY,9.85
EQUITY,9.88
EQUITY,9.02
EQUITY,9.11
EQUITY,7.22
EQUITY,10.62
EQUITY,-1
EQUITY,14.5
EQUITY,9.04
EQUITY,9.34
EQUITY,7.94
EQUITY,6.94
EQUITY,8.4
EQUITY,8.17
EQUITY,8.9
EQUITY,8.07
EQUITY,9.23
EQUITY,15.1
EQUITY,14.2
EQUITY,15.61
EQUITY,15.27
EQUITY,6.23
EQUITY,5.49
EQUITY,11.13
EQUITY,17.46
EQUITY,16.03
EQUITY,12.76
EQUITY,11.94
EQUITY,11.82
EQUITY,14.7
EQUITY,5.9
EQUITY,-12.88
EQUITY,5.4
EQUITY,5.46
EQUITY,14.94
EQUITY,13.52
EQUITY,17.54
EQUITY,14.99
EQUITY,14.24
EQUITY,5.4
EQUITY,13.22
EQUITY,15.98
EQUITY,16.24
EQUITY,14.74
EQUITY,7.16
EQUITY,12.26
EQUITY,12.54
EQUITY,11.07
EQUITY,3.02
EQUITY,2.66
EQUITY,14.33
EQUITY,13.73
EQUITY,14.19
EQUITY,14.01
EQUITY,8.01
EQUITY,6.89
EQUITY,8.65
EQUITY,20.77
EQUITY,6.72
EQUITY,9.23
EQUITY,10.34
EQUITY,10.42
EQUITY,10.01
EQUITY,10.48
EQUITY,10.26
EQUITY,11.63
EQUITY,15.81
EQUITY,14.52
EQUITY,16.62
EQUITY,17.12
EQUITY,14.53
EQUITY,15.29
EQUITY,6.25
EQUITY,9.46
EQUITY,9.14
EQUITY,9.65
EQUITY,10.69
EQUITY,10.32
EQUITY,11.52
EQUITY,9.94
EQUITY,16.12
EQUITY,17.36
EQUITY,15.97
EQUITY,17.36
EQUITY,4.73
EQUITY,11.34
EQUITY,10.29
EQUITY,11.38
EQUITY,10.94
EQUITY,12.19
EQUITY,12.15
EQUITY,12.14
EQUITY,11.78
EQUITY,10.45
EQUITY,18.55
EQUITY,17.19
EQUITY,-0.81
EQUITY,-0.56
EQUITY,2.65
EQUITY,16.08
EQUITY,6.02
EQUITY,9.99
EQUITY,14.67
EQUITY,14.96
EQUITY,14.59
EQUITY,14.89
EQUITY,15.73
EQUITY,15.73
EQUITY,16.02
EQUITY,0.86
EQUITY,0.2
EQUITY,0.78
EQUITY,1.05
EQUITY,11.38
EQUITY,13
EQUITY,-10.34
EQUITY,9.52
EQUITY,-5.36
EQUITY,4.6
EQUITY,12.39
EQUITY,13.22
EQUITY,14
EQUITY,-1.16
EQUITY,19.18
EQUITY,-14.51
EQUITY,11.27
EQUITY,13.46
EQUITY,13.17
EQUITY,12.21
EQUITY,11.09
EQUITY,9.12
EQUITY,4.14
EQUITY,7.97
EQUITY,0.94
EQUITY,10.17
EQUITY,6.47
EQUITY,4.36
EQUITY,7.35
EQUITY,10.99
EQUITY,14.01
EQUITY,8.02
EQUITY,11.86
EQUITY,13.56
EQUITY,9.14
EQUITY,5.06
EQUITY,11.2
EQUITY,14.52
EQUITY,11.47
EQUITY,-17.75
EQUITY,19.5
EQUITY,20.92
EQUITY,0.56
EQUITY,2.53
EQUITY,14.51
EQUITY,13.9
EQUITY,14.07
EQUITY,17.89
EQUITY,10.33
EQUITY,10.88
EQUITY,17.11
EQUITY,7.26
EQUITY,3.38
EQUITY,11.41
EQUITY,16.77
EQUITY,18.62
EQUITY,10.81
EQUITY,11.46
EQUITY,13.61
EQUITY,16.1
EQUITY,11.47
EQUITY,3.18
EQUITY,14.86
EQUITY,9.45
EQUITY,5.17
EQUITY,18.45
EQUITY,8.52
EQUITY,15.66
EQUITY,7.22
EQUITY,-14.86
EQUITY,10.9
EQUITY,20.23
EQUITY,1.24
EQUITY,2.39
EQUITY,1.22
EQUITY,3.58
EQUITY,1.18
EQUITY,7.2
EQUITY,8.4
EQUITY,9.32
EQUITY,2.7
EQUITY,-0.06
EQUITY,4.57
EQUITY,5.94
EQUITY,4.28
EQUITY,0.42
EQUITY,5.35
EQUITY,-0.19
EQUITY,2.81
EQUITY,3.79
EQUITY,1.74
EQUITY,9.79
EQUITY,-0.76
EQUITY,0.1
EQUITY,8.33
EQUITY,5.49
EQUITY,7.04
EQUITY,-13.47
EQUITY,8.69
EQUITY,8.9
EQUITY,10.58
EQUITY,9.63
EQUITY,-6.93
EQUITY,-4.39
EQUITY,7.7
EQUITY,7.06
EQUITY,-3.55
EQUITY,-30.41
EQUITY,12.86
EQUITY,9.83
EQUITY,6.84
EQUITY,-0.27
EQUITY,-17.18
EQUITY,-12.52
EQUITY,5.93
EQUITY,-26.99
EQUITY,2.98
EQUITY,-8.66
EQUITY,-17.51
EQUITY,-30.1
EQUITY,-23.13
EQUITY,2.4
EQUITY,-53.9
EQUITY,-9.86
EQUITY,-31.55
EQUITY,-14.82
EQUITY,-3.1
EQUITY,-2.15
EQUITY,-12.9
EQUITY,-5.2
EQUITY,-19.2
EQUITY,10.26
EQUITY,-9.78
EQUITY,-12.42
EQUITY,-17.74
EQUITY,-34.4
EQUITY,-11.28
EQUITY,-9.42
EQUITY,-30.88
EQUITY,-13.99
EQUITY,-45.41
EQUITY,12.03
EQUITY,-22.92
EQUITY,-29.85
EQUITY,-40.74
EQUITY,-53.54
EQUITY,-22.96
EQUITY,-19.27
EQUITY,-23.81
EQUITY,-68.75
EQUITY,-47.67
EQUITY,-62.04
EQUITY,-69.83
EQUITY,-36.57
EQUITY,-30.83
EQUITY,-34.17
EQUITY,-63.77
EQUITY,-78.49
EQUITY,-47.14
EQUITY,-5.32
EQUITY,-64.7
EQUITY,-7.45
EQUITY,-14.53
EQUITY,-12.42
EQUITY,-9.29
EQUITY,-18.4
EQUITY,-16.77
EQUITY,-12.63
EQUITY,-13.83
EQUITY,-24.02
EQUITY,40.48
EQUITY,17.96
EQUITY,-28.69
EQUITY,-25.37
EQUITY,-19.11
EQUITY,-20.8
EQUITY,-34.52
EQUITY,-33.13
EQUITY,-25.83
EQUITY,-27.75
EQUITY,-43.85
EQUITY,-28.26
EQUITY,-25.05
EQUITY,-42.57
EQUITY,-37.37
EQUITY,-32.38
EQUITY,-32.81
EQUITY,-48.9
EQUITY,-47.5
EQUITY,-38.07
EQUITY,-41.71
EQUITY,-60.11
EQUITY,-55.1
EQUITY,-48.07
EQUITY,-46.04
EQUITY,-44.61
EQUITY,-61.03
EQUITY,-59.61
EQUITY,-48.98
EQUITY,-54.4
EQUITY,-72.62
EQUITY,-25.49
EQUITY,-3.21
EQUITY,45.04
EQUITY,3.01
EQUITY,59.97
EQUITY,5.03
EQUITY,11.78
EQUITY,16.19
EQUITY,5.74
EQUITY,9.51
EQUITY,17.61
EQUITY,21.33
EQUITY,16.32
EQUITY,10.73
EQUITY,24.91
EQUITY,-59.24
EQUITY,-48.16
EQUITY,21.2
EQUITY,30.42
EQUITY,5.16
EQUITY,14.62
EQUITY,35.6
EQUITY,41.09
EQUITY,30.53
EQUITY,51.31
EQUITY,-89.9
EQUITY,-83.1
EQUITY,27.17
EQUITY,44.68
EQUITY,0.31
EQUITY,16.93
EQUITY,52.25
EQUITY,60.9
EQUITY,44.57
EQUITY,22.73
EQUITY,76.51
EQUITY,29.45
EQUITY,58.55
EQUITY,-8.6
EQUITY,15.82
EQUITY,66.99
EQUITY,79.8
EQUITY,57.95
EQUITY,22.81
EQUITY,98.96
EQUITY,23.5
EQUITY,0.96
EQUITY,16.57
EQUITY,11.33
EQUITY,4.54
EQUITY,4.7
EQUITY,13.59
EQUITY,15.6
EQUITY,7.79
EQUITY,15.11
EQUITY,12.68
EQUITY,13.4
EQUITY,14.25
EQUITY,11.86
EQUITY,15.34
EQUITY,5.11
EQUITY,5.02
EQUITY,5.2
EQUITY,3.87
EQUITY,3.78
EQUITY,3.96
EQUITY,4.58
EQUITY,4.67
EQUITY,1.91
EQUITY,2.15
EQUITY,2.24
EQUITY,3.81
EQUITY,3.9
EQUITY,4.01
EQUITY,4.34
EQUITY,3.69
EQUITY,4.27
EQUITY,4.43
EQUITY,3.78
EQUITY,4.21
EQUITY,4.3
EQUITY,0.06
EQUITY,0.14
EQUITY,2.25
EQUITY,2.14
EQUITY,2.34
EQUITY,2.15
EQUITY,2.24
EQUITY,1.19
EQUITY,1.28
EQUITY,1.62
EQUITY,-0.88
EQUITY,8.31
EQUITY,8.41
EQUITY,6.24
EQUITY,6.06
EQUITY,6.33
EQUITY,9.54
EQUITY,9.64
EQUITY,11.02
EQUITY,11.11
EQUITY,7.19
EQUITY,7.13
EQUITY,7.29
EQUITY,12.83
EQUITY,12.75
EQUITY,12.93
EQUITY,1.8
EQUITY,1.55
EQUITY,1.46
EQUITY,1.64
EQUITY,20.11
EQUITY,20.01
EQUITY,20.21
EQUITY,20.04
EQUITY,20.15
EQUITY,6.49
EQUITY,6.4
EQUITY,6.58
EQUITY,1.69
EQUITY,1.61
EQUITY,1.77
EQUITY,1.67
EQUITY,1.61
EQUITY,1.76
EQUITY,1.76
EQUITY,1.85
EQUITY,1.51
EQUITY,1.44
EQUITY,1.6
EQUITY,10.38
EQUITY,10.47
EQUITY,18.43
EQUITY,18.53
EQUITY,11.69
EQUITY,11.61
EQUITY,11.78
EQUITY,14.29
EQUITY,14.22
EQUITY,14.39
EQUITY,13.17
EQUITY,13.27
EQUITY,3.28
EQUITY,3.06
EQUITY,11.14
EQUITY,0.29
EQUITY,1.7
EQUITY,1.61
EQUITY,1.61
EQUITY,1.78
EQUITY,1.69
EQUITY,0.8
EQUITY,0.88
EQUITY,9.79
EQUITY,9.72
EQUITY,9.88
EQUITY,5.96
EQUITY,5.89
EQUITY,6.05
EQUITY,9.76
EQUITY,9.85
EQUITY,15
EQUITY,14.92
EQUITY,15.1
EQUITY,13.58
EQUITY,13.52
EQUITY,13.69
EQUITY,1.42
EQUITY,1.34
EQUITY,3.8
EQUITY,3.53
EQUITY,1.23
EQUITY,1.6
EQUITY,18.19
EQUITY,18.76
EQUITY,1.39
EQUITY,1.47
EQUITY,1.29
EQUITY,1.6
EQUITY,4.17
EQUITY,2.84
EQUITY,0.02
EQUITY,0.1
EQUITY,1.3
EQUITY,2.2
ALTERNATIVE,2.63
ALTERNATIVE,1.62
ALTERNATIVE,1.7
ALTERNATIVE,-4.49
ALTERNATIVE,-4.12
ALTERNATIVE,-5.02
ALTERNATIVE,-1.5
ALTERNATIVE,-2.67
ALTERNATIVE,-7.2
ALTERNATIVE,-5.25
ALTERNATIVE,-2.15
ALTERNATIVE,-25.57
ALTERNATIVE,19.6
ALTERNATIVE,10.52
ALTERNATIVE,0.72
ALTERNATIVE,-9.94
ALTERNATIVE,-4.26
ALTERNATIVE,-24.88
ALTERNATIVE,21.96
ALTERNATIVE,11.46
ALTERNATIVE,16.65
ALTERNATIVE,12.14
ALTERNATIVE,-15.48
ALTERNATIVE,5.89
ALTERNATIVE,3.93
ALTERNATIVE,7.43
ALTERNATIVE,10.17
ALTERNATIVE,12.82
ALTERNATIVE,15.11
ALTERNATIVE,-31.61
ALTERNATIVE,-33.76
ALTERNATIVE,8.9
ALTERNATIVE,-31.77
ALTERNATIVE,-10.45
ALTERNATIVE,-12.25
ALTERNATIVE,-23.72
ALTERNATIVE,-5.88
ALTERNATIVE,-55.84
ALTERNATIVE,56.83
ALTERNATIVE,19.42
ALTERNATIVE,13.09
ALTERNATIVE,-9.83
ALTERNATIVE,-0.99
ALTERNATIVE,-55.3
ALTERNATIVE,72.82
ALTERNATIVE,12.36
ALTERNATIVE,-46.26
ALTERNATIVE,36.7
ALTERNATIVE,12.08
ALTERNATIVE,-38.61
ALTERNATIVE,26.48
ALTERNATIVE,-8.6
ALTERNATIVE,-32.74
ALTERNATIVE,-12.65
ALTERNATIVE,-49.83
ALTERNATIVE,43.03
ALTERNATIVE,-44.2
ALTERNATIVE,-93.04
ALTERNATIVE,-29.58
ALTERNATIVE,7.54
ALTERNATIVE,-48.12
ALTERNATIVE,26.61
ALTERNATIVE,-32.41
ALTERNATIVE,22.12
ALTERNATIVE,-48.05
ALTERNATIVE,25.94
ALTERNATIVE,-32.21
ALTERNATIVE,14.85
ALTERNATIVE,11.94
ALTERNATIVE,12.09
ALTERNATIVE,9.69
ALTERNATIVE,9.87
ALTERNATIVE,13.69
ALTERNATIVE,13.86
ALTERNATIVE,15.99
ALTERNATIVE,13.64
ALTERNATIVE,16.18
ALTERNATIVE,13.78
ALTERNATIVE,13.94
ALTERNATIVE,12.83
ALTERNATIVE,18.83
ALTERNATIVE,13.39
ALTERNATIVE,7.79
ALTERNATIVE,7.79
ALTERNATIVE,7.55
ALTERNATIVE,8
ALTERNATIVE,18.67
ALTERNATIVE,1.5
ALTERNATIVE,4.36
ALTERNATIVE,9.51
ALTERNATIVE,8.34
ALTERNATIVE,19.56
ALTERNATIVE,12.19
ALTERNATIVE,1.71
ALTERNATIVE,21.1
ALTERNATIVE,20.99
ALTERNATIVE,21.25
ALTERNATIVE,9.32
ALTERNATIVE,13.14
ALTERNATIVE,16.86
ALTERNATIVE,20.51
ALTERNATIVE,20.37
